,adj_word,adj_lemma,adj_id,mod_adj,n_word,n_lemma,n_id,sen_len,sen_id
49,enough,enough,8,,,,,36,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0008
50,Israeli,israeli,18,,,,,36,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0008
51,Palestinian,palestinian,20,,struggle,struggle,21,36,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0008
52,best,best,25,,posters,poster,27,36,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0008
53,young,young,33,Muslim,men,man,35,36,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0008
54,Muslim,muslim,34,young,men,man,35,36,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0008
55,effective,effective,8,,weapon,weapon,9,21,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0009
56,wide,wide,5,,range,range,6,31,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0001
57,Iraqi,iraqi,8,political,forces,force,10,31,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0001
58,political,political,9,Iraqi,forces,force,10,31,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0001
59,religious,religious,23,,leader,leader,24,31,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0001
60,Muslim,muslim,4,,clerics,cleric,5,30,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0002
61,immediate,immediate,21,,revenge,revenge,22,30,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0002
62,general,general,15,,strike,strike,16,17,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0003
63,dead,dead,14,,,,,15,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0004
64,big,big,7,,demonstration,demonstration,8,9,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0005
65,Radical,radical,1,Shiite,cleric,cleric,3,35,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0006
66,Shiite,shiite,2,Radical,cleric,cleric,3,35,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0006
67,criminal,criminal,13,,,,,35,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0006
68,interim,interim,2,,,,,34,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0007
69,Israeli,israeli,20,,authority,authority,21,34,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0007
70,terrorist,terrorist,7,,acts,act,8,25,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0008
71,Many,many,5,,,,,33,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0009
72,American,american,13,,occupation,occupation,14,33,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0009
73,Palestinian,palestinian,25,,people,people,26,33,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0009
74,Israeli,israeli,30,,occupation,occupation,31,33,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0009
75,unrelated,unrelated,4,,incidents,incident,5,33,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0010
76,first,first,4,,whispers,whisper,5,55,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0001
77,most,most,11,,investors,investor,12,55,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0001
78,public,public,20,,,,,55,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0001
79,high,high,25,,price,price,26,55,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0001
80,profitable,profitable,33,,model,model,35,55,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0001
81,flawless,flawless,39,,execution,execution,40,55,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0001
82,high,high,47,,,,,55,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0001
83,real,real,53,,profit,profit,54,55,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0001
84,more,more,10,,,,,36,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0006
85,great,great,19,successful,engine,engine,21,36,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0006
86,real,real,24,,support,support,28,36,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0006
87,successful,successful,30,great,engine,engine,21,36,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0006
88,blessed,blessed,5,laudatory,lack,lack,8,32,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0007
89,laudatory,laudatory,7,blessed,lack,lack,8,32,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0007
90,efficient,efficient,13,,ads,ad,19,32,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0007
91,effective,effective,15,,,,,32,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0007
92,simple,simple,9,,interface,interface,10,35,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0008
93,loyal,loyal,15,,,,,35,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0008
94,fewest,fewest,26,,features,feature,28,35,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0008
95,low,low,30,,end,end,32,35,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0008
96,other,other,2,,problem,problem,3,4,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0009
97,tough,tough,3,,,,,16,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0010
98,most,most,13,,users,user,15,34,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0011
99,popular,popular,29,,,,,34,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0011
100,likely,likely,12,high,valuation,valuation,16,38,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0012
101,high,high,15,likely,valuation,valuation,16,38,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0012
102,huge,huge,22,,chunk,chunk,23,38,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0012
103,next,next,30,,engine,engine,37,38,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0012
104,simple,simple,35,,,,,38,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0012
105,whole,whole,4,,lot,lot,5,22,weblog-blogspot.com_aggressivevoicedaily_20060814163400_ENG_20060814_163400-0001
106,Swedish,swedish,13,,newspaper,newspaper,14,22,weblog-blogspot.com_aggressivevoicedaily_20060814163400_ENG_20060814_163400-0001
107,best,best,15,,,,,20,weblog-blogspot.com_aggressivevoicedaily_20060814163400_ENG_20060814_163400-0002
108,comparable,comparable,11,,,,,22,weblog-blogspot.com_aggressivevoicedaily_20060814163400_ENG_20060814_163400-0003
109,new,new,19,fun,contest,contest,21,22,weblog-blogspot.com_aggressivevoicedaily_20060814163400_ENG_20060814_163400-0003
110,fun,fun,20,new,contest,contest,21,22,weblog-blogspot.com_aggressivevoicedaily_20060814163400_ENG_20060814_163400-0003
111,international,international,2,,contest,contest,3,28,weblog-blogspot.com_aggressivevoicedaily_20060814163400_ENG_20060814_163400-0005
112,Western,western,18,,papers,papers,19,28,weblog-blogspot.com_aggressivevoicedaily_20060814163400_ENG_20060814_163400-0005
113,last,last,20,,,,,28,weblog-blogspot.com_aggressivevoicedaily_20060814163400_ENG_20060814_163400-0005
114,long,long,10,,fair,fair,11,19,weblog-blogspot.com_aggressivevoicedaily_20060814163400_ENG_20060814_163400-0009
115,more,more,12,,,,,24,weblog-blogspot.com_aggressivevoicedaily_20060814163400_ENG_20060814_163400-0010
116,more,more,18,,,,,24,weblog-blogspot.com_aggressivevoicedaily_20060814163400_ENG_20060814_163400-0010
117,top,top,4,,cartoons,cartoon,6,28,weblog-blogspot.com_aggressivevoicedaily_20060814163400_ENG_20060814_163400-0011
118,cute,cute,2,little,stunt,stunt,4,17,weblog-blogspot.com_aggressivevoicedaily_20060814163400_ENG_20060814_163400-0012
119,little,little,3,cute,stunt,stunt,4,17,weblog-blogspot.com_aggressivevoicedaily_20060814163400_ENG_20060814_163400-0012
120,fanatic,fanatic,12,,,,,17,weblog-blogspot.com_aggressivevoicedaily_20060814163400_ENG_20060814_163400-0012
121,precious,precious,3,,cartoons,cartoon,4,19,weblog-blogspot.com_aggressivevoicedaily_20060814163400_ENG_20060814_163400-0014
122,most,most,5,,,,,19,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0001
123,fair,fair,6,,numbers,number,7,26,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0002
124,Iraqi,iraqi,9,,noncombatants,noncombatant,10,26,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0002
125,Armed,armed,1,,clashes,clash,2,25,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0003
126,several,several,6,Iraqi,cities,city,9,25,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0003
127,northern,northern,7,Iraqi,cities,city,9,25,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0003
128,Iraqi,iraqi,8,northern,cities,city,9,25,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0003
129,dead,dead,17,,,,,25,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0003
130,aged,aged,3,,cousin,cousin,4,31,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0007
131,Iraqi,iraqi,2,,society,society,3,33,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0008
132,responsible,responsible,8,,,,,33,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0008
133,first,first,17,,cousins,cousin,18,33,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0008
134,weak,weak,26,,,,,33,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0008
135,substantial,substantial,29,,shame,shame,30,33,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0008
136,most,most,5,,,,,16,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0009
137,other,other,4,,cities,city,5,25,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0010
138,intrepid,intrepid,2,,,,,17,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0011
139,more,more,9,,,,,17,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0011
140,Sunni,sunni,12,,boycott,boycott,13,17,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0011
141,Sunni,sunni,19,,vote,vote,20,34,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0012
142,Sunni,sunni,9,Arab,regions,region,11,25,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0013
143,Arab,arab,10,Sunni,regions,region,11,25,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0013
144,Sunni,sunni,19,,participation,participation,20,25,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0013
145,more,more,4,,,,,20,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0014
146,political,political,7,,implications,implication,8,20,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0014
147,black,black,3,,satire,satire,4,18,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0015
148,next,next,20,,couple,couple,21,25,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0016
149,hottest,hottest,2,,item,item,3,13,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0001
150,nuclear,nuclear,11,,weapons,weapon,12,13,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0001
151,better,better,14,,ones,one,15,31,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0002
152,last,last,3,few,years,year,5,40,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0003
153,few,few,4,last,years,year,5,40,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0003
154,nuclear,nuclear,13,,program,program,14,40,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0003
155,same,same,3,,time,time,4,21,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0004
156,Iranian,iranian,7,,Group,group,9,21,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0004
157,covert,covert,17,,program,program,20,21,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0004
158,nuclear,nuclear,18,,weapons,weapon,19,21,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0004
159,Arial,arial,1,,photos,photo,2,19,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0005
160,loose,loose,4,,connections,connection,5,19,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0005
161,best,best,11,,nukes,nuke,12,18,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0006
162,new,new,9,nuclear,weapons,weapon,11,21,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0007
163,nuclear,nuclear,10,new,weapons,weapon,11,21,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0007
164,other,other,13,,countries,country,14,21,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0007
165,high,high,5,,,,,26,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0008
166,nuclear,nuclear,24,,weapons,weapon,25,26,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0008
167,equal,equal,15,,,,,16,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0010
168,nuclear,nuclear,7,,weapons,weapon,8,36,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0011
169,nuclear,nuclear,27,,weapons,weapon,28,36,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0011
170,nuclear,nuclear,34,,strength,strength,35,36,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0011
171,nuclear,nuclear,9,,weapons,weapon,10,24,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0012
172,slightest,slightest,22,,concern,concern,23,24,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0012
173,few,few,25,,years,year,26,28,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0013
174,nuclear,nuclear,12,,weapons,weapon,13,14,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0014
175,close,close,18,,,,,19,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0015
176,Arial,arial,1,,photos,photo,2,21,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0017
177,chemical,chemical,16,,weapons,weapon,17,21,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0017
178,scary,scary,10,,,,,23,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0018
179,most,most,17,dual,citizens,citizen,24,27,weblog-blogspot.com_alaindewitt_20060827093500_ENG_20060827_093500-0003
180,dual,dual,22,most,citizens,citizen,24,27,weblog-blogspot.com_alaindewitt_20060827093500_ENG_20060827_093500-0003
181,normal,normal,4,,procedure,procedure,5,21,weblog-blogspot.com_alaindewitt_20060827093500_ENG_20060827_093500-0004
182,mythical,mythical,5,Arab,street,street,8,13,weblog-blogspot.com_alaindewitt_20060827093500_ENG_20060827_093500-0006
183,Arab,arab,7,mythical,street,street,8,13,weblog-blogspot.com_alaindewitt_20060827093500_ENG_20060827_093500-0006
184,military,military,16,,violence,violence,17,43,weblog-blogspot.com_alaindewitt_20060827093500_ENG_20060827_093500-0007
185,likely,likely,19,,,,,43,weblog-blogspot.com_alaindewitt_20060827093500_ENG_20060827_093500-0007
186,last,last,39,,years,year,41,43,weblog-blogspot.com_alaindewitt_20060827093500_ENG_20060827_093500-0007
187,other,other,2,,words,word,3,22,weblog-blogspot.com_alaindewitt_20060827093500_ENG_20060827_093500-0008
188,own,own,11,,choice,choice,12,22,weblog-blogspot.com_alaindewitt_20060827093500_ENG_20060827_093500-0008
189,predictable,predictable,21,,situation,situation,17,22,weblog-blogspot.com_alaindewitt_20060827093500_ENG_20060827_093500-0008
190,last,last,6,,year,year,7,42,weblog-blogspot.com_alaindewitt_20060827093500_ENG_20060827_093500-0010
191,predictable,predictable,30,,phenomenon,phenomenon,25,42,weblog-blogspot.com_alaindewitt_20060827093500_ENG_20060827_093500-0010
192,right,right,3,,,,,6,weblog-blogspot.com_alaindewitt_20060827093500_ENG_20060827_093500-0013
193,southern,southern,24,,city,city,25,33,weblog-blogspot.com_alaindewitt_20060827093500_ENG_20060827_093500-0016
194,first,first,9,,bridge,bridge,10,45,weblog-blogspot.com_alaindewitt_20060827093500_ENG_20060827_093500-0018
195,other,other,20,,bridges,bridge,21,45,weblog-blogspot.com_alaindewitt_20060827093500_ENG_20060827_093500-0018
196,federal,federal,41,,court,court,42,45,weblog-blogspot.com_alaindewitt_20060827093500_ENG_20060827_093500-0018
197,American,american,5,,citizens,citizen,6,16,weblog-blogspot.com_alaindewitt_20060827093500_ENG_20060827_093500-0019
198,immediate,immediate,4,,family,family,5,18,weblog-blogspot.com_alaindewitt_20060827093500_ENG_20060827_093500-0022
199,Dear,dear,1,,,,,3,weblog-blogspot.com_alaindewitt_20060827093500_ENG_20060827_093500-0023
200,illegal,illegal,14,,militias,militia,15,28,weblog-blogspot.com_alaindewitt_20060827093500_ENG_20060827_093500-0024
201,other,other,18,,countries,country,19,28,weblog-blogspot.com_alaindewitt_20060827093500_ENG_20060827_093500-0024
202,likely,likely,23,,,,,28,weblog-blogspot.com_alaindewitt_20060827093500_ENG_20060827_093500-0024
203,own,own,19,,making,making,20,21,weblog-blogspot.com_alaindewitt_20060827093500_ENG_20060827_093500-0025
204,loathe,loathe,4,,,,,46,weblog-blogspot.com_tacitusproject_20040712123425_ENG_20040712_123425-0001
205,other,other,7,,writers,writer,8,46,weblog-blogspot.com_tacitusproject_20040712123425_ENG_20040712_123425-0001
206,little,little,16,,bit,bit,17,46,weblog-blogspot.com_tacitusproject_20040712123425_ENG_20040712_123425-0001
207,good,good,35,,,,,46,weblog-blogspot.com_tacitusproject_20040712123425_ENG_20040712_123425-0001
208,whole,whole,42,,column,column,43,46,weblog-blogspot.com_tacitusproject_20040712123425_ENG_20040712_123425-0001
209,former,former,24,,,,,26,weblog-blogspot.com_tacitusproject_20040712123425_ENG_20040712_123425-0004
210,main,main,26,,theme,theme,27,29,weblog-blogspot.com_tacitusproject_20040712123425_ENG_20040712_123425-0005
211,complicated,complicated,5,,,,,13,weblog-blogspot.com_tacitusproject_20040712123425_ENG_20040712_123425-0011
212,steep,steep,22,,cliff,cliff,23,34,weblog-blogspot.com_tacitusproject_20040712123425_ENG_20040712_123425-0013
213,other,other,31,,horsemen,horseman,32,34,weblog-blogspot.com_tacitusproject_20040712123425_ENG_20040712_123425-0013
214,Western,western,4,,scene,scene,5,19,weblog-blogspot.com_tacitusproject_20040712123425_ENG_20040712_123425-0014
215,good,good,17,,decisions,decision,18,19,weblog-blogspot.com_tacitusproject_20040712123425_ENG_20040712_123425-0018
216,long,long,12,,story,story,13,20,weblog-blogspot.com_tacitusproject_20040712123425_ENG_20040712_123425-0020
217,good,good,9,,judges,judge,10,11,weblog-blogspot.com_tacitusproject_20040712123425_ENG_20040712_123425-0024
218,first,first,7,inaugural,service,service,10,13,weblog-blogspot.com_tacitusproject_20040712123425_ENG_20040712_123425-0026
219,inaugural,inaugural,8,first,service,service,10,13,weblog-blogspot.com_tacitusproject_20040712123425_ENG_20040712_123425-0026
220,greater,greater,7,,,,,12,weblog-blogspot.com_tacitusproject_20040712123425_ENG_20040712_123425-0031
221,rambling,rambling,5,,response,response,6,7,weblog-blogspot.com_tacitusproject_20040712123425_ENG_20040712_123425-0037
222,random,random,4,,speculation,speculation,5,17,weblog-typepad.com_ripples_20050410122300_ENG_20050410_122300-0001
223,new,new,10,,browser,browser,11,17,weblog-typepad.com_ripples_20050410122300_ENG_20050410_122300-0001
224,true,true,3,,,,,11,weblog-typepad.com_ripples_20050410122300_ENG_20050410_122300-0002
225,inside,inside,4,,information,information,5,34,weblog-typepad.com_ripples_20050410122300_ENG_20050410_122300-0004
226,serious,serious,21,,,,,34,weblog-typepad.com_ripples_20050410122300_ENG_20050410_122300-0004
227,permanent,permanent,24,,control,control,25,34,weblog-typepad.com_ripples_20050410122300_ENG_20050410_122300-0004
228,lead,lead,5,,engineer,engineer,6,10,weblog-typepad.com_ripples_20050410122300_ENG_20050410_122300-0005
229,unchanged,unchanged,12,,,,,40,weblog-typepad.com_ripples_20050410122300_ENG_20050410_122300-0008
230,same,same,20,,work,work,21,40,weblog-typepad.com_ripples_20050410122300_ENG_20050410_122300-0008
231,new,new,30,,goal,goal,31,40,weblog-typepad.com_ripples_20050410122300_ENG_20050410_122300-0008
232,successful,successful,33,,releases,release,39,40,weblog-typepad.com_ripples_20050410122300_ENG_20050410_122300-0008
233,devoted,devoted,3,,,,,21,weblog-typepad.com_ripples_20050410122300_ENG_20050410_122300-0009
234,full,full,4,,time,time,6,21,weblog-typepad.com_ripples_20050410122300_ENG_20050410_122300-0009
235,general,general,20,,browsing,browsing,18,21,weblog-typepad.com_ripples_20050410122300_ENG_20050410_122300-0009
236,big,big,7,,Welcome,welcome,9,23,weblog-typepad.com_ripples_20050410122300_ENG_20050410_122300-0012
237,big,big,4,,,,,7,weblog-typepad.com_ripples_20050410122300_ENG_20050410_122300-0015
238,involved,involved,10,,,,,17,weblog-typepad.com_ripples_20050410122300_ENG_20050410_122300-0017
239,crucial,crucial,8,,elements,element,9,22,weblog-typepad.com_ripples_20050410122300_ENG_20050410_122300-0021
240,past,past,18,few,years,year,20,22,weblog-typepad.com_ripples_20050410122300_ENG_20050410_122300-0021
241,few,few,19,past,years,year,20,22,weblog-typepad.com_ripples_20050410122300_ENG_20050410_122300-0021
242,Great,great,1,,,,,7,weblog-typepad.com_ripples_20050410122300_ENG_20050410_122300-0022
243,present,present,13,,time,time,14,33,weblog-typepad.com_ripples_20050410122300_ENG_20050410_122300-0023
244,old,old,20,,adage,adage,21,33,weblog-typepad.com_ripples_20050410122300_ENG_20050410_122300-0023
